num_of_innings,total_runs,opponent_runs,game_id,game_date,game_location,game_attendance,is_top,team,season,opponent_innings_played,opponent,full_game_runs,opponent_full_game_runs,average_fgr,average_fgr_allowed,win_percentage,is_sec_matchup,sec_win_percentage,sec_average_fgr,sec_average_fgr_allowed,lag_average_fgr,lag_average_fgr_allowed,lag_win_percentage,lag_sec_win_percentage,lag_sec_average_fgr,lag_sec_average_fgr_allowed,game_count,is_power_5,most_recent_era,days_since_era_update,ly_era,conference
7,10,7,894911,2012-02-17,"Austin, Texas",487,1,Tennessee,2012,7,Illinois,10,7,6.24,4.43,0.86,1,0.86,6.24,4.43,5.61,4,0.83,0.83,5.61,4,7,1,2.79,232,2.79,Big Ten
6,3,0,894976,2012-02-17,Florida Atlantic,62,0,Kentucky,2012,7,Wright St.,3.5,0,2.58,6.16,0.5,1,0.5,2.58,6.16,2.4,7.39,0.4,0.4,2.4,7.39,6,0,3.4,232,3.4,Horizon
6,8,1,894775,2012-02-17,"Athens, Ga.",347,0,Georgia,2012,7,UConn,9.333333333333334,1,9.54,1.01,0.86,1,0.86,9.54,1.01,9.57,1.01,0.83,0.83,9.57,1.01,7,0,4.2,232,4.2,AAC
7,4,5,894811,2012-02-17,"Starkville, Miss.",250,0,Mississippi St.,2012,7,SIUE,4,5,6.25,3,0.83,1,0.83,6.25,3,6.7,2.6,1,1,6.7,2.6,6,0,3.33,232,3.33,OVC
7,12,9,894906,2012-02-17,"AUBURN, Ala.",886,1,Alabama,2012,7,Georgia Tech,12,9,12.2,3.01,1,1,1,12.2,3.01,12.25,1.52,1,1,12.25,1.52,5,1,2.37,232,2.37,ACC
6,2,1,895279,2012-02-18,"Boca Raton, FL",0,0,Kentucky,2012,7,LIU,2.3333333333333335,1,2.55,5.42,0.57,1,0.57,2.55,5.42,2.58,6.16,0.5,0.5,2.58,6.16,7,0,4.08,233,4.08,NEC
7,6,7,895061,2012-02-18,"Tampa, Fla.",696,1,Arkansas,2012,7,South Fla.,6,7,10.98,3.17,0.67,1,0.67,10.98,3.17,11.98,2.4,0.8,0.8,11.98,2.4,6,0,2.46,233,2.46,AAC
4,8,0,895064,2012-02-18,"Athens, Ga.",213,0,Georgia,2012,5,Buffalo,14,0,10.09,0.88,0.88,1,0.88,10.09,0.88,9.54,1.01,0.86,0.86,9.54,1.01,8,0,5.04,233,5.04,MAC
6,2,0,895115,2012-02-18,"Athens, Ga.",202,0,Georgia,2012,7,Western Ill.,2.3333333333333335,0,9.23,0.78,0.89,1,0.89,9.23,0.78,10.09,0.88,0.88,0.88,10.09,0.88,9,0,5.34,233,5.34,Summit League
7,0,3,895280,2012-02-18,"Boca Raton, Fla.",0,1,Kentucky,2012,6,Michigan,0,3.5,2.23,5.18,0.5,1,0.5,2.23,5.18,2.55,5.42,0.57,0.57,2.55,5.42,8,1,1.69,233,1.69,Big Ten
